نزدیک ترین سیاره به خورشید کدام است ؟ | عطارد | علوم | آسان
پایتخت ایران کدام شهر است ؟ | تهران | جغرافیا | آسان
نخستین پادشاه هخامنشی چه کسی بود ؟ | کوروش بزرگ | تاریخ | معمولی
کدام گاز برای تنفس انسان ضروری است ؟ | اکسیژن | علوم | آسان
محبوب ترین ورزش جهان کدام است ؟ | فوتبال | ورزش | آسان
نویسنده رمان بینوایان چه کسی است ؟ | ویکتور هوگو | ادبیات | سخت
بزرگ ترین پستاندار روی زمین کدام جانور است ؟ | نهنگ ابی | حیوانات | معمولی
کتاب مقدس مسلمانان چه نام دارد ؟ | قران کریم | دین و مذهبی | آسان
شرکت سازنده گوشی ايفون کدام است ؟ | اپل | تکنولوژی | معمولی
واحد پول رسمی ایران چه نام دارد ؟ | ریال | اقتصاد | آسان
کدام ویتامین برای بینایی و سلامت چشم مهم است ؟ | A | علوم | معمولی
پایتخت فرانسه کدام شهر است ؟ | پاریس | جغرافیا | آسان
کدام دانشمند نظریه نسبیت را مطرح کرد ؟ | البرت اینشتین | افراد معروف | معمولی
سریع ترین جانور خشکی کدام است ؟ | یوزپلنگ | حیوانات | معمولی
تابلوی مونالیزا اثر کدام نقاش است ؟ | لئوناردو داوینچی | فرهنگ و هنر | سخت
کتاب رکورد های عجیب جهان چه نام دارد ؟ | گینس | سرگرمی و دانستنی ها | آسان
مسابقات جام جهانی فوتبال هر چند سال یک بار برگزار می شود ؟ | 4 | ورزش | معمولی
پیامبر دین اسلام چه کسی است ؟ | محمد بن عبدالله | دین و مذهبی | آسان
کدام کشور بیش ترین جمعیت جهان را دارد ؟ | چین | جغرافیا | آسان
غذای معروف ایرانی که با برنج و کباب سرو می شود چه نام دارد ؟ | چلوکباب | غذا و نوشیدنی | معمولی
کدام عضو بدن خون را پمپ می کند ؟ | قلب | علوم | آسان
پایتخت ایتالیا کدام شهر است ؟ | رم | جغرافیا | آسان
اولین انسان قدم گذاشته بر سطح ماه چه کسی بود ؟ | نیل ارمسترانگ | تاریخ | معمولی
کدام ورزش با توپ زرد کوچک و راکت انجام می شود ؟ | تنیس | ورزش | معمولی
شاعر کتاب بوستان و گلستان چه کسی است ؟ | سعدی | ادبیات | آسان
نام رسمی زبان بیش تر مردم ایران چیست ؟ | فارسی | ادبیات | آسان
بلند ترین کوه ایران کدام است ؟ | دماوند | جغرافیا | معمولی
نوزاد گربه چه نام دارد ؟ | بچه گربه | حیوانات | آسان
